RefElement                            |       Insert |       Remove |        Total |            σ
-------------------------------------------------------------------------------------------------
PtrElementHeap                        |    0.09528ms |     0.9556ms |      1.051ms |    0.03905ms
ClassElementHeap                      |     0.3013ms |      1.228ms |      1.529ms |    0.06707ms
ClosureHeap (local literal)           |     0.4553ms |      1.461ms |      1.916ms |    0.06812ms
ManagedBufferHeap                     |       0.58ms |      1.343ms |      1.923ms |     0.1065ms
UnsafePtrHeap                         |     0.4344ms |      1.632ms |      2.066ms |      0.126ms
ArrayHeap (@transparent)              |     0.4509ms |      2.482ms |      2.933ms |     0.1061ms
ArrayPtrHeap (@transparent)           |     0.9108ms |      2.188ms |      3.098ms |      0.165ms
BinaryHeapCF                          |     0.6734ms |      2.574ms |      3.248ms |     0.1459ms
Framework.BinaryHeapCF                |     0.7502ms |      3.028ms |      3.778ms |    0.05177ms
ArrayPtrHeap                          |     0.9477ms |      4.286ms |      5.234ms |     0.2668ms
ArrayHeap                             |      1.294ms |      9.914ms |      11.21ms |     0.3548ms
ClosureHeapargument literal           |      1.369ms |      10.23ms |       11.6ms |     0.3982ms
ClosureHeapargument <                 |      1.407ms |      10.36ms |      11.77ms |     0.7976ms
Framework.ClosureHeapargument literal |      1.758ms |      11.65ms |      13.41ms |     0.2151ms
Framework.ClosureHeapargument <       |       1.77ms |       11.8ms |      13.57ms |     0.3266ms
ClosureHeap (local <)                 |      1.251ms |      12.61ms |      13.86ms |     0.2535ms
Framework.ClosureHeap (local literal) |      1.829ms |      12.81ms |      14.64ms |     0.3094ms
Framework.UnsafePtrHeap               |      1.883ms |      13.23ms |      15.12ms |     0.5135ms
Framework.ClassElementHeap            |      2.271ms |      14.32ms |      16.59ms |     0.2867ms
Framework.ClosureHeap (local <)       |      2.151ms |      18.17ms |      20.32ms |      1.751ms
Framework.ManagedBufferHeap           |      9.249ms |      21.15ms |       30.4ms |     0.6099ms
Framework.ArrayPtrHeap                |      11.86ms |      29.91ms |      41.77ms |      1.329ms
Framework.PtrElementHeap              |      4.324ms |      112.7ms |      117.1ms |      2.419ms
Framework.ArrayHeap                   |      14.06ms |      138.1ms |      152.2ms |      3.367ms
-------------------------------------------------------------------------------------------------

ValElement Small                      |       Insert |       Remove |        Total |            σ
-------------------------------------------------------------------------------------------------
PtrElementHeap                        |    0.08152ms |     0.9476ms |      1.029ms |    0.01799ms
ClosureHeap (local literal)           |     0.2273ms |     0.9147ms |      1.142ms |    0.02962ms
ManagedBufferHeap                     |     0.2917ms |      0.942ms |      1.234ms |    0.03395ms
UnsafePtrHeap                         |     0.2715ms |      0.965ms |      1.236ms |     0.0856ms
ArrayHeap                             |     0.2029ms |      1.139ms |      1.342ms |    0.06422ms
ArrayPtrHeap                          |     0.3467ms |      2.895ms |      3.242ms |     0.2034ms
BinaryHeapCF                          |     0.6734ms |      2.574ms |      3.248ms |     0.1459ms
ClosureHeapargument literal           |      0.373ms |      3.397ms |       3.77ms |    0.04915ms
Framework.BinaryHeapCF                |     0.7502ms |      3.028ms |      3.778ms |    0.05177ms
ClosureHeapargument <                 |     0.3644ms |      3.513ms |      3.877ms |     0.1922ms
ClosureHeap (local <)                 |     0.2938ms |      4.683ms |      4.977ms |     0.1839ms
