ReferenceElement                                        |       Insert |       Remove |        Total |            σ
-------------------------------------------------------------------------------------------------------------------
BinaryHeap.UnsafePointerHeap                            |      1.251ms |      1.687ms |      2.937ms |     0.3131ms
BinaryHeap.ManagedBufferHeap (workaround)               |      1.346ms |      1.644ms |       2.99ms |     0.3561ms
BinaryHeap.ReferenceElementHeap                         |      1.359ms |      1.696ms |      3.055ms |     0.4313ms
BinaryHeap.NonCoWHeap                                   |      1.433ms |      1.751ms |      3.184ms |     0.3897ms
BinaryHeap.ManagedBufferHeap                            |      1.424ms |      1.785ms |      3.209ms |     0.3837ms
BinaryHeap.ClassElementHeap                             |      2.041ms |      1.672ms |      3.714ms |     0.3809ms
Framework.ReferenceElementHeap                          |       2.07ms |      1.872ms |      3.943ms |     0.4256ms
BinaryHeap.ArrayPointerHeap (workaround)                |      2.436ms |      4.697ms |      7.133ms |     0.5238ms
BinaryHeap.ArrayPointerHeap (@transparent + workaround) |       2.85ms |      4.713ms |      7.563ms |     0.5623ms
BinaryHeap.ArrayPointerHeap                             |      3.006ms |      5.336ms |      8.341ms |     0.7959ms
BinaryHeap.ArrayPointerHeap (@transparent)              |      4.234ms |      5.311ms |      9.546ms |     0.6878ms
BinaryHeap.ClosureUnsafePointerHeap (argument literal)  |      4.005ms |       28.2ms |      32.21ms |      4.109ms
BinaryHeap.ClosureManagedBufferHeap                     |      3.966ms |      28.81ms |      32.78ms |      4.439ms
BinaryHeap.ClosureUnsafePointerHeap (argument <)        |      4.649ms |       28.5ms |      33.15ms |      4.196ms
BinaryHeap.ClosureUnsafePointerHeap (local literal)     |      4.505ms |       28.9ms |       33.4ms |      4.394ms
Framework.NonCoWHeap                                    |      5.234ms |      30.18ms |      35.41ms |      4.312ms
Framework.UnsafePointerHeap                             |      4.982ms |      30.74ms |      35.72ms |      4.423ms
Framework.ClassElementHeap                              |      4.404ms |       32.9ms |       37.3ms |       4.34ms
Framework.ClosureUnsafePointerHeap (local literal)      |      4.643ms |       32.7ms |      37.34ms |      4.404ms
Framework.ClosureUnsafePointerHeap (argument <)         |      4.685ms |      32.84ms |      37.53ms |      4.489ms
Framework.ClosureUnsafePointerHeap (argument literal)   |      5.271ms |      32.79ms |      38.06ms |      4.664ms
BinaryHeap.ClosureArrayBufferHeap                       |      4.792ms |      37.21ms |         42ms |      4.498ms
Framework.ClosureArrayBufferHeap                        |      8.173ms |      49.13ms |      57.31ms |       4.94ms
Framework.ArrayPointerHeap                              |       16.1ms |      48.81ms |       64.9ms |      5.452ms
Framework.ManagedBufferHeap                             |      21.71ms |      48.08ms |      69.79ms |       4.62ms
BinaryHeap.ArrayHeap                                    |      6.776ms |      63.98ms |      70.76ms |      5.445ms
BinaryHeap.ArrayHeap (@transparent)                     |      7.015ms |      63.93ms |      70.95ms |      5.996ms
Framework.ClosureManagedBufferHeap                      |      22.58ms |      52.92ms |       75.5ms |      5.092ms
Framework.ArrayHeap                                     |      18.27ms |      169.4ms |      187.7ms |      7.257ms
-------------------------------------------------------------------------------------------------------------------

ValElement Small                                       |       Insert |       Remove |        Total |            σ
------------------------------------------------------------------------------------------------------------------
BinaryHeap.ManagedBufferHeap (workaround)              |     0.2288ms |     0.8215ms |       1.05ms |     0.0665ms
BinaryHeap.UnsafePointerHeap                           |     0.2347ms |      0.848ms |      1.083ms |    0.05736ms
BinaryHeap.SmallValueElementHeap                       |     0.2438ms |     0.8629ms |      1.107ms |    0.06138ms
BinaryHeap.ArrayPointerHeap (workaround)               |     0.2337ms |     0.9742ms |      1.208ms |     0.0838ms
BinaryHeap.NonCoWHeap                                  |     0.3048ms |     0.9471ms |      1.252ms |    0.07043ms
BinaryHeap.ManagedBufferHeap                           |     0.3131ms |     0.9398ms |      1.253ms |    0.06253ms
Framework.SmallValueElementHeap                        |      0.257ms |      1.025ms |      1.282ms |    0.06774ms
BinaryHeap.ArrayPointerHeap                            |     0.3449ms |      1.149ms |      1.494ms |    0.08224ms
BinaryHeap.ArrayHeap                                   |     0.2448ms |       1.35ms |      1.595ms |    0.09426ms
BinaryHeap.ClosureUnsafePointerHeap (argument literal) |     0.3213ms |      3.083ms |      3.404ms |     0.1363ms
BinaryHeap.ClosureUnsafePointerHeap (local literal)    |     0.3213ms |      3.093ms |      3.414ms |     0.1473ms
BinaryHeap.ClosureUnsafePointerHeap (argument <)       |     0.3225ms |      3.103ms |      3.426ms |     0.1741ms
BinaryHeap.ClosureManagedBufferHeap                    |     0.3216ms |      3.122ms |      3.444ms |      0.184ms
Framework.UnsafePointerHeap                            |     0.8583ms |      5.188ms |      6.047ms |     0.2508ms
Framework.NonCoWHeap                                   |      1.023ms |      5.179ms |      6.202ms |     0.1796ms
Framework.ClosureUnsafePointerHeap (argument literal)  |     0.8523ms |      6.325ms |      7.177ms |     0.1845ms
Framework.ClosureUnsafePointerHeap (argument <)        |     0.8535ms |      7.989ms |      8.843ms |      0.319ms
Framework.ClosureUnsafePointerHeap (local literal)     |     0.8481ms |      8.025ms |      8.873ms |      0.308ms
BinaryHeap.ClosureArrayBufferHeap                      |     0.9423ms |      11.06ms |         12ms |     0.5367ms
Framework.ClosureArrayBufferHeap                       |      4.268ms |      21.75ms |      26.02ms |      0.698ms
Framework.ArrayPointerHeap                             |      9.914ms |      21.03ms |      30.94ms |     0.9973ms
Framework.ManagedBufferHeap                            |      16.55ms |      22.54ms |      39.08ms |      1.041ms
