ReferenceElement                                        |       Insert |       Remove |        Total |            σ
-------------------------------------------------------------------------------------------------------------------
Framework.NonCoWHeap                                    |      8.766ms |      32.78ms |      41.54ms |       6.43ms
BinaryHeap.NonCoWHeap                                   |      8.722ms |      32.87ms |      41.59ms |      6.373ms
Framework.UnsafePointerHeap                             |      10.28ms |      34.55ms |      44.83ms |      6.498ms
BinaryHeap.UnsafePointerHeap                            |      10.37ms |      34.77ms |      45.13ms |      6.858ms
BinaryHeap.ReferenceElementHeap                         |      10.47ms |      34.68ms |      45.15ms |      6.652ms
BinaryHeap.ClosureUnsafePointerHeap (argument literal)  |      7.689ms |      37.61ms |       45.3ms |      9.227ms
BinaryHeap.ClosureUnsafePointerHeap (argument <)        |      7.685ms |       37.7ms |      45.39ms |      7.643ms
Framework.ClosureUnsafePointerHeap (argument <)         |      7.724ms |      37.74ms |      45.46ms |      8.281ms
Framework.ClosureUnsafePointerHeap (argument literal)   |       7.72ms |      37.83ms |      45.55ms |      10.09ms
Framework.ReferenceElementHeap                          |      10.78ms |      35.11ms |      45.89ms |      6.886ms
Framework.ClosureUnsafePointerHeap (local literal)      |      7.686ms |         39ms |      46.68ms |      11.34ms
BinaryHeap.ClosureUnsafePointerHeap (local literal)     |      7.722ms |      38.99ms |      46.71ms |      14.76ms
Framework.ClassElementHeap                              |       10.3ms |      37.49ms |      47.79ms |       6.75ms
BinaryHeap.ClassElementHeap                             |      10.79ms |      37.35ms |      48.14ms |      6.651ms
Framework.ClosureArrayBufferHeap                        |      12.11ms |      55.51ms |      67.63ms |      8.073ms
BinaryHeap.ClosureArrayBufferHeap                       |       12.2ms |      56.27ms |      68.47ms |      9.733ms
BinaryHeap.ArrayPointerHeap (workaround)                |       18.5ms |      50.45ms |      68.96ms |      7.278ms
BinaryHeap.ArrayPointerHeap (@transparent + workaround) |      18.42ms |      52.04ms |      70.46ms |       7.96ms
BinaryHeap.ArrayPointerHeap                             |      20.91ms |       52.1ms |         73ms |      7.851ms
BinaryHeap.ArrayPointerHeap (@transparent)              |      20.99ms |      52.72ms |      73.71ms |      10.76ms
Framework.ArrayPointerHeap                              |      20.65ms |      53.16ms |      73.81ms |        8.2ms
Framework.ManagedBufferHeap                             |      26.33ms |      51.79ms |      78.13ms |      8.104ms
BinaryHeap.ManagedBufferHeap                            |      26.75ms |      51.59ms |      78.33ms |       8.34ms
BinaryHeap.ManagedBufferHeap (workaround)               |      28.27ms |      53.99ms |      82.26ms |      7.849ms
BinaryHeap.ClosureManagedBufferHeap                     |      25.83ms |      57.91ms |      83.74ms |      9.469ms
Framework.ClosureManagedBufferHeap                      |      25.93ms |       58.2ms |      84.13ms |      8.936ms
BinaryHeap.ArrayHeap (@transparent)                     |      23.12ms |      181.5ms |      204.7ms |      10.97ms
BinaryHeap.ArrayHeap                                    |      23.22ms |      182.2ms |      205.4ms |      11.44ms
Framework.ArrayHeap                                     |      23.07ms |      182.7ms |      205.8ms |       11.9ms
-------------------------------------------------------------------------------------------------------------------

ValElement Small                                       |       Insert |       Remove |        Total |            σ
------------------------------------------------------------------------------------------------------------------
BinaryHeap.NonCoWHeap                                  |      4.329ms |      5.547ms |      9.875ms |     0.5443ms
Framework.NonCoWHeap                                   |      4.299ms |      5.619ms |      9.917ms |     0.5319ms
BinaryHeap.ClosureUnsafePointerHeap (argument <)       |      2.737ms |      8.831ms |      11.57ms |        1.9ms
Framework.ClosureUnsafePointerHeap (argument literal)  |      2.777ms |      8.854ms |      11.63ms |     0.7556ms
Framework.ClosureUnsafePointerHeap (argument <)        |      2.755ms |      9.026ms |      11.78ms |      2.515ms
BinaryHeap.ClosureUnsafePointerHeap (local literal)    |      2.852ms |      9.028ms |      11.88ms |      2.868ms
BinaryHeap.ClosureUnsafePointerHeap (argument literal) |      2.901ms |      9.071ms |      11.97ms |      5.893ms
Framework.ClosureUnsafePointerHeap (local literal)     |      2.859ms |      9.254ms |      12.11ms |      4.077ms
Framework.UnsafePointerHeap                            |       5.93ms |      7.308ms |      13.24ms |     0.7563ms
Framework.SmallValueElementHeap                        |       6.01ms |      7.301ms |      13.31ms |     0.6548ms
BinaryHeap.SmallValueElementHeap                       |      5.979ms |      7.348ms |      13.33ms |     0.6592ms
BinaryHeap.UnsafePointerHeap                           |       6.01ms |      7.388ms |       13.4ms |     0.8576ms
BinaryHeap.ClosureArrayBufferHeap                      |      6.695ms |      25.19ms |      31.88ms |      1.487ms
Framework.ClosureArrayBufferHeap                       |       6.76ms |      25.22ms |      31.98ms |      1.579ms
BinaryHeap.ArrayPointerHeap (workaround)               |      13.25ms |      21.54ms |      34.79ms |      2.245ms
BinaryHeap.ArrayPointerHeap                            |      13.68ms |       21.8ms |      35.48ms |      1.306ms
Framework.ArrayPointerHeap                             |      14.22ms |      22.55ms |      36.77ms |      1.723ms
Framework.ManagedBufferHeap                            |      20.86ms |      23.78ms |      44.64ms |      3.293ms
BinaryHeap.ManagedBufferHeap                           |      20.88ms |       24.1ms |      44.97ms |      1.862ms
Framework.ClosureManagedBufferHeap                     |      19.15ms |      28.29ms |      47.44ms |      1.939ms
BinaryHeap.ClosureManagedBufferHeap                    |      19.55ms |      28.91ms |      48.46ms |      12.95ms
BinaryHeap.ManagedBufferHeap (workaround)              |       22.4ms |      26.26ms |      48.66ms |      3.465ms
Framework.ArrayHeap                                    |       16.4ms |      130.5ms |      146.9ms |      4.588ms
BinaryHeap.ArrayHeap                                   |      16.37ms |      130.9ms |      147.3ms |      5.746ms
------------------------------------------------------------------------------------------------------------------

ValElement Medium                                      |       Insert |       Remove |        Total |            σ
------------------------------------------------------------------------------------------------------------------
Framework.NonCoWHeap                                   |      10.39ms |      42.26ms |      52.64ms |      2.045ms
BinaryHeap.NonCoWHeap                                  |       10.4ms |       42.3ms |       52.7ms |      2.047ms
Framework.ClosureUnsafePointerHeap (argument literal)  |      7.648ms |      45.74ms |      53.38ms |      2.796ms
Framework.ClosureUnsafePointerHeap (local literal)     |      7.863ms |      45.69ms |      53.55ms |      5.608ms
BinaryHeap.ClosureUnsafePointerHeap (argument literal) |       7.78ms |      46.05ms |      53.83ms |      7.522ms
BinaryHeap.ClosureUnsafePointerHeap (local literal)    |      7.744ms |      46.09ms |      53.84ms |      10.44ms
BinaryHeap.ClosureUnsafePointerHeap (argument <)       |      7.676ms |      46.21ms |      53.88ms |      6.219ms
Framework.ClosureUnsafePointerHeap (argument <)        |      8.127ms |      46.52ms |      54.65ms |      13.67ms
BinaryHeap.MediumValueElementHeap                      |      12.26ms |      44.38ms |      56.65ms |      2.475ms
Framework.UnsafePointerHeap                            |      12.27ms |      44.44ms |      56.71ms |      1.959ms
Framework.MediumValueElementHeap                       |      12.37ms |      44.48ms |      56.85ms |      2.287ms
