ReferenceElement                                      |       Insert |       Remove |        Total |            σ
-----------------------------------------------------------------------------------------------------------------
Framework.CFBinaryHeapWrapper (non-generic test)      |     0.7585ms |      3.277ms |      4.035ms |     0.4393ms
CFBinaryHeapWrapper (non-generic test)                |     0.8772ms |      3.728ms |      4.605ms |     0.4363ms
Framework.CFBinaryHeapWrapper                         |      3.767ms |      3.649ms |      7.417ms |     0.5441ms
CFBinaryHeapWrapper                                   |      3.925ms |      3.652ms |      7.577ms |     0.7961ms
Framework.NonCoWHeap                                  |      5.081ms |      12.97ms |      18.05ms |       1.59ms
NonCoWHeap                                            |      5.142ms |      13.51ms |      18.66ms |      3.028ms
ClosureUnsafePointerHeap (argument literal)           |      4.349ms |       16.5ms |      20.85ms |      1.324ms
ClosureUnsafePointerHeap (argument <)                 |      4.312ms |      16.55ms |      20.86ms |       1.13ms
Framework.ClosureUnsafePointerHeap (argument <)       |      4.445ms |      17.14ms |      21.58ms |      1.429ms
ClosureUnsafePointerHeap (local literal)              |      4.585ms |      17.04ms |      21.62ms |      1.636ms
Framework.ClosureUnsafePointerHeap (argument literal) |      4.417ms |      17.25ms |      21.67ms |      1.544ms
Framework.ClosureUnsafePointerHeap (local literal)    |      4.436ms |      17.75ms |      22.18ms |      1.363ms
ReferenceElementHeap                                  |      7.256ms |       15.5ms |      22.75ms |      1.301ms
Framework.UnsafePointerHeap                           |      7.295ms |      15.82ms |      23.11ms |      1.501ms
UnsafePointerHeap                                     |      7.512ms |       15.8ms |      23.31ms |      1.411ms
Framework.ReferenceElementHeap                        |      7.609ms |       16.1ms |      23.71ms |      3.844ms
ClassElementHeap                                      |      7.278ms |       17.5ms |      24.78ms |      2.163ms
Framework.ClassElementHeap                            |      7.321ms |      17.69ms |      25.01ms |      2.318ms
Framework.ClosureUnsafePointerHeap (local <)          |      5.037ms |      23.28ms |      28.32ms |       1.35ms
ClosureUnsafePointerHeap (local <)                    |      4.941ms |       23.9ms |      28.85ms |      1.871ms
Framework.ClosureArrayBufferHeap                      |      8.188ms |      34.61ms |       42.8ms |      2.407ms
ClosureArrayBufferHeap                                |      8.368ms |      34.75ms |      43.12ms |      2.705ms
ArrayPointerHeap (workaround)                         |      14.91ms |      31.58ms |      46.49ms |      3.455ms
ArrayPointerHeap (@transparent + workaround)          |      14.98ms |      31.75ms |      46.73ms |      2.495ms
ArrayPointerHeap                                      |      16.02ms |      32.18ms |       48.2ms |      3.862ms
Framework.ArrayPointerHeap                            |         16ms |      32.38ms |      48.38ms |      2.767ms
ArrayPointerHeap (@transparent)                       |      16.12ms |       32.7ms |      48.82ms |      2.974ms
Framework.ManagedBufferHeap                           |      22.05ms |      32.17ms |      54.22ms |      2.699ms
ManagedBufferHeap                                     |      22.63ms |      32.55ms |      55.18ms |      3.525ms
ClosureManagedBufferHeap                              |      21.44ms |      36.24ms |      57.68ms |      2.911ms
Framework.ClosureManagedBufferHeap                    |      21.01ms |      37.01ms |      58.02ms |      4.785ms
ManagedBufferHeap (workaround)                        |      23.67ms |      34.62ms |      58.29ms |      3.278ms
Framework.ArrayHeap                                   |      18.35ms |      153.6ms |      171.9ms |      9.284ms
ArrayHeap                                             |      18.58ms |      154.7ms |      173.3ms |      11.57ms
ArrayHeap (@transparent)                              |      18.98ms |      156.1ms |      175.1ms |      8.897ms
-----------------------------------------------------------------------------------------------------------------

ValElement Small                                      |       Insert |       Remove |        Total |            σ
-----------------------------------------------------------------------------------------------------------------
Framework.NonCoWHeap                                  |      3.897ms |      5.512ms |      9.409ms |     0.6504ms
NonCoWHeap                                            |      3.955ms |      5.664ms |      9.619ms |      1.115ms
