RefElement                                              |       Insert |       Remove |        Total |            σ
-------------------------------------------------------------------------------------------------------------------
BinaryHeap.PtrElementHeap                               |    0.06864ms |      1.216ms |      1.284ms |    0.09449ms
BinaryHeap.ClassElementHeap                             |      0.371ms |      1.196ms |      1.567ms |    0.07102ms
BinaryHeap.ManagedBufferHeap (workaround)               |      0.427ms |      1.179ms |      1.606ms |    0.08394ms
BinaryHeap.UnsafePointerHeap                            |     0.4708ms |      1.178ms |      1.649ms |     0.1217ms
BinaryHeap.NonCoWHeap                                   |     0.5194ms |       1.29ms |      1.809ms |     0.1105ms
BinaryHeap.ManagedBufferHeap                            |     0.5268ms |      1.334ms |      1.861ms |     0.1399ms
BinaryHeap.ArrayPointerHeap (workaround)                |      1.463ms |      4.005ms |      5.468ms |     0.4644ms
BinaryHeap.ArrayPointerHeap                             |      1.645ms |      4.042ms |      5.687ms |     0.3416ms
BinaryHeap.ArrayPointerHeap (@transparent + workaround) |      2.164ms |      3.901ms |      6.065ms |     0.2957ms
BinaryHeap.ArrayPointerHeap (@transparent)              |      2.321ms |      3.959ms |       6.28ms |      0.289ms
BinaryHeap.ClosureUnsafePointerHeap (local literal)     |      1.221ms |      8.736ms |      9.957ms |     0.4548ms
BinaryHeap.ClosureManagedBufferHeap                     |      1.219ms |      8.791ms |      10.01ms |     0.4046ms
BinaryHeap.ClosureUnsafePointerHeap (argument <)        |      1.239ms |      8.837ms |      10.08ms |     0.3627ms
BinaryHeap.ClosureUnsafePointerHeap (argument literal)  |      1.208ms |      8.911ms |      10.12ms |     0.5256ms
BinaryHeap.ClosureArrayBufferHeap                       |      1.187ms |      9.044ms |      10.23ms |     0.4164ms
Framework.UnsafePointerHeap                             |      1.705ms |      11.05ms |      12.75ms |     0.5541ms
Framework.NonCoWHeap                                    |      1.975ms |      11.05ms |      13.03ms |     0.6357ms
Framework.ClosureUnsafePointerHeap (local literal)      |      1.649ms |      11.85ms |       13.5ms |      0.666ms
Framework.ClosureUnsafePointerHeap (argument <)         |      1.706ms |      11.84ms |      13.55ms |      1.392ms
Framework.ClosureArrayBufferHeap                        |      1.686ms |         12ms |      13.68ms |     0.7906ms
Framework.ClosureUnsafePointerHeap (argument literal)   |      1.683ms |      12.14ms |      13.82ms |      1.545ms
Framework.ClassElementHeap                              |      2.158ms |      12.59ms |      14.74ms |     0.5626ms
Framework.ArrayPointerHeap                              |       11.8ms |      28.48ms |      40.28ms |      1.843ms
BinaryHeap.ArrayHeap                                    |      3.614ms |      42.42ms |      46.03ms |     0.9889ms
Framework.ManagedBufferHeap                             |      18.63ms |      29.25ms |      47.88ms |       3.09ms
