RefElement                                            |       Insert |       Remove |        Total |            σ
-----------------------------------------------------------------------------------------------------------------
PtrElementHeap                                        |    0.08121ms |     0.9712ms |      1.052ms |    0.08177ms
ClassElementHeap                                      |     0.3168ms |      1.273ms |       1.59ms |     0.1402ms
UnsafePointerHeap                                     |     0.4283ms |      1.278ms |      1.706ms |     0.1483ms
ClosureUnsafePointerHeap (local literal)              |     0.4474ms |      1.273ms |       1.72ms |     0.1546ms
ManagedBufferHeap (workaround)                        |     0.4585ms |      1.277ms |      1.736ms |     0.1622ms
ManagedBufferHeap                                     |     0.6041ms |      1.379ms |      1.984ms |     0.4217ms
NonCoWHeap                                            |     0.6523ms |      1.364ms |      2.017ms |     0.2229ms
ArrayHeap (@transparent)                              |     0.4601ms |       2.61ms |      3.071ms |     0.2755ms
ArrayPointerHeap (@transparent)                       |     0.9559ms |       2.29ms |      3.246ms |     0.2963ms
ArrayPointerHeap                                      |      0.938ms |      2.328ms |      3.266ms |     0.3011ms
CFBinaryHeapWrapper                                   |     0.6618ms |      2.654ms |      3.316ms |     0.3011ms
Framework.CFBinaryHeapWrapper                         |     0.8937ms |      3.332ms |      4.226ms |     0.3527ms
ArrayPointerHeap (workaround)                         |     0.6981ms |      4.289ms |      4.987ms |     0.3878ms
ArrayPointerHeap (@transparent + workaround)          |       0.65ms |      4.341ms |      4.991ms |      0.437ms
ClosureUnsafePointerHeap (argument <)                 |      1.412ms |      9.378ms |      10.79ms |     0.8339ms
ClosureUnsafePointerHeap (argument literal)           |      1.409ms |       9.42ms |      10.83ms |     0.8358ms
ClosureUnsafePointerHeap (local <)                    |      1.305ms |      10.12ms |      11.42ms |     0.8776ms
ArrayHeap                                             |      1.337ms |       10.3ms |      11.64ms |     0.9229ms
ClosureArrayBufferHeap                                |      1.323ms |       10.5ms |      11.83ms |     0.9374ms
ClosureManagedBufferHeap                              |      1.384ms |      10.49ms |      11.87ms |     0.9031ms
Framework.NonCoWHeap                                  |       1.81ms |      12.94ms |      14.75ms |      1.098ms
Framework.ClosureUnsafePointerHeap (argument <)       |      4.203ms |       15.3ms |       19.5ms |      1.402ms
Framework.UnsafePointerHeap                           |      4.229ms |      15.45ms |      19.68ms |      1.477ms
Framework.ClosureUnsafePointerHeap (argument literal) |      4.213ms |      15.87ms |      20.08ms |      1.502ms
Framework.ClosureArrayBufferHeap                      |       4.61ms |      15.59ms |       20.2ms |      1.644ms
Framework.ClosureUnsafePointerHeap (local literal)    |      4.313ms |      16.01ms |      20.32ms |      1.573ms
Framework.ClassElementHeap                            |      4.586ms |      17.22ms |      21.81ms |      1.526ms
Framework.ClosureUnsafePointerHeap (local <)          |      4.941ms |      20.06ms |         25ms |      1.736ms
Framework.ArrayPointerHeap                            |      12.89ms |      32.86ms |      45.74ms |      3.287ms
Framework.ManagedBufferHeap                           |      19.24ms |      31.84ms |      51.08ms |      3.323ms
Framework.ClosureManagedBufferHeap                    |       20.6ms |       34.4ms |      55.01ms |      4.229ms
Framework.PtrElementHeap                              |      4.969ms |      121.9ms |      126.9ms |      8.269ms
Framework.ArrayHeap                                   |      15.41ms |        154ms |      169.4ms |      15.89ms
-----------------------------------------------------------------------------------------------------------------

ValElement Small                                      |       Insert |       Remove |        Total |            σ
-----------------------------------------------------------------------------------------------------------------
UnsafePointerHeap                                     |     0.1982ms |     0.8389ms |      1.037ms |    0.08985ms
PtrElementHeap                                        |    0.07646ms |     0.9756ms |      1.052ms |    0.08689ms
ClosureUnsafePointerHeap (local literal)              |     0.2113ms |      0.848ms |      1.059ms |    0.09949ms
ManagedBufferHeap (workaround)                        |     0.2188ms |     0.9132ms |      1.132ms |    0.09944ms
NonCoWHeap                                            |     0.2776ms |     0.9292ms |      1.207ms |     0.1047ms
ManagedBufferHeap                                     |     0.3121ms |      1.013ms |      1.325ms |     0.1917ms
ArrayHeap                                             |     0.2101ms |      1.162ms |      1.372ms |     0.1222ms
ArrayPointerHeap                                      |     0.3606ms |      1.168ms |      1.528ms |     0.1421ms
ClosureUnsafePointerHeap (local <)                    |     0.2508ms |      1.601ms |      1.852ms |      0.155ms
ClosureManagedBufferHeap                              |     0.2992ms |      1.702ms |      2.001ms |     0.1798ms
ClosureArrayBufferHeap                                |     0.2922ms |      1.766ms |      2.058ms |     0.1822ms
ClosureUnsafePointerHeap (argument <)                 |     0.3214ms |      1.797ms |      2.118ms |      0.179ms
