RefElement                                            |       Insert |       Remove |        Total |            σ
-----------------------------------------------------------------------------------------------------------------
Framework.CFBinaryHeapWrapper                         |     0.6764ms |      2.996ms |      3.672ms |     0.1493ms
CFBinaryHeapWrapper                                   |     0.6807ms |      3.416ms |      4.097ms |     0.2415ms
Framework.NonCoWHeap                                  |      4.647ms |      12.17ms |      16.81ms |     0.5467ms
NonCoWHeap                                            |      4.761ms |      12.23ms |      16.99ms |      2.157ms
Framework.ClosureUnsafePointerHeap (argument <)       |      3.987ms |      14.87ms |      18.85ms |     0.6307ms
Framework.ClosureUnsafePointerHeap (local literal)    |      3.987ms |       14.9ms |      18.89ms |      0.917ms
ClosureUnsafePointerHeap (argument literal)           |      4.035ms |       14.9ms |      18.94ms |     0.9268ms
ClosureUnsafePointerHeap (local literal)              |      3.996ms |      14.96ms |      18.95ms |      0.864ms
ClosureArrayBufferHeap                                |      4.335ms |      14.64ms |      18.98ms |     0.4894ms
Framework.ClosureArrayBufferHeap                      |      4.334ms |       14.7ms |      19.03ms |     0.6761ms
Framework.ClosureUnsafePointerHeap (argument literal) |      4.024ms |       15.1ms |      19.13ms |     0.7338ms
ClosureUnsafePointerHeap (argument <)                 |      4.032ms |      15.14ms |      19.17ms |     0.8641ms
UnsafePointerHeap                                     |      6.606ms |      14.49ms |      21.09ms |      0.727ms
Framework.UnsafePointerHeap                           |      6.668ms |      14.61ms |      21.28ms |      0.844ms
ClosureUnsafePointerHeap (local <)                    |      4.617ms |      18.89ms |       23.5ms |     0.7667ms
ClassElementHeap                                      |      7.077ms |      16.59ms |      23.67ms |      1.455ms
Framework.ClosureUnsafePointerHeap (local <)          |      4.607ms |      19.09ms |       23.7ms |      1.494ms
Framework.ClassElementHeap                            |      6.995ms |      16.73ms |      23.73ms |      1.429ms
ArrayPointerHeap (@transparent + workaround)          |      13.33ms |      28.59ms |      41.91ms |       1.28ms
ArrayPointerHeap (workaround)                         |       13.4ms |      28.78ms |      42.18ms |       2.03ms
ArrayPointerHeap (@transparent)                       |      14.28ms |       29.4ms |      43.68ms |      1.008ms
Framework.ArrayPointerHeap                            |      14.28ms |      29.44ms |      43.72ms |       2.51ms
ArrayPointerHeap                                      |      14.39ms |      29.52ms |       43.9ms |      1.617ms
Framework.ManagedBufferHeap                           |      20.95ms |      30.24ms |      51.18ms |      2.277ms
ManagedBufferHeap                                     |      21.14ms |      30.13ms |      51.28ms |      1.148ms
ClosureManagedBufferHeap                              |      19.13ms |       32.3ms |      51.43ms |      1.111ms
Framework.ClosureManagedBufferHeap                    |      19.38ms |      32.84ms |      52.21ms |      4.096ms
ManagedBufferHeap (workaround)                        |      22.22ms |      32.49ms |      54.71ms |      2.153ms
Framework.PtrElementHeap                              |      4.319ms |      111.7ms |        116ms |      4.218ms
PtrElementHeap                                        |      4.333ms |      111.7ms |      116.1ms |      3.203ms
ArrayHeap (@transparent)                              |      16.76ms |      135.9ms |      152.7ms |      6.026ms
Framework.ArrayHeap                                   |      16.74ms |      136.3ms |        153ms |      5.585ms
ArrayHeap                                             |      16.81ms |      137.2ms |        154ms |      6.114ms
-----------------------------------------------------------------------------------------------------------------

ValElement Small                                      |       Insert |       Remove |        Total |            σ
-----------------------------------------------------------------------------------------------------------------
Framework.NonCoWHeap                                  |      3.506ms |      5.245ms |      8.751ms |     0.3368ms
NonCoWHeap                                            |      3.532ms |      5.264ms |      8.796ms |      0.564ms
Framework.ClosureUnsafePointerHeap (local literal)    |      2.863ms |        8.5ms |      11.36ms |     0.3793ms
Framework.ClosureUnsafePointerHeap (argument <)       |      2.844ms |      8.551ms |      11.39ms |     0.4556ms
ClosureUnsafePointerHeap (argument <)                 |       2.89ms |      8.635ms |      11.53ms |     0.5686ms
ClosureUnsafePointerHeap (local literal)              |      2.895ms |      8.703ms |       11.6ms |      1.239ms
Framework.ClosureArrayBufferHeap                      |       3.21ms |        8.4ms |      11.61ms |     0.3857ms
ClosureArrayBufferHeap                                |      3.223ms |      8.387ms |      11.61ms |      0.287ms
Framework.ClosureUnsafePointerHeap (argument literal) |      2.864ms |      8.848ms |      11.71ms |     0.4679ms
ClosureUnsafePointerHeap (argument literal)           |      2.896ms |      8.955ms |      11.85ms |     0.6391ms
UnsafePointerHeap                                     |       5.27ms |      7.619ms |      12.89ms |     0.3529ms
Framework.UnsafePointerHeap                           |      5.315ms |      7.602ms |      12.92ms |     0.4263ms
ClosureUnsafePointerHeap (local <)                    |       3.53ms |      11.77ms |       15.3ms |     0.5535ms
Framework.ClosureUnsafePointerHeap (local <)          |      3.635ms |      11.89ms |      15.52ms |      1.701ms
ArrayPointerHeap (workaround)                         |      11.91ms |       21.1ms |      33.01ms |      1.558ms
ArrayPointerHeap                                      |      12.47ms |       21.7ms |      34.17ms |      1.437ms
Framework.ArrayPointerHeap                            |      12.66ms |      21.71ms |      34.37ms |      1.431ms
Framework.ManagedBufferHeap                           |      19.45ms |      23.18ms |      42.64ms |     0.8683ms
ManagedBufferHeap                                     |      19.56ms |      23.21ms |      42.78ms |      1.099ms
ClosureManagedBufferHeap                              |      18.05ms |      26.12ms |      44.16ms |      1.285ms
Framework.ClosureManagedBufferHeap                    |       18.3ms |      27.23ms |      45.53ms |       11.5ms
ManagedBufferHeap (workaround)                        |      20.86ms |      25.22ms |      46.07ms |      1.862ms
PtrElementHeap                                        |      4.339ms |      111.8ms |      116.1ms |      3.279ms
Framework.PtrElementHeap                              |      4.331ms |      112.2ms |      116.6ms |      6.109ms
Framework.ArrayHeap                                   |      13.72ms |      111.5ms |      125.3ms |      5.337ms
ArrayHeap                                             |      13.84ms |      112.3ms |      126.2ms |      5.522ms
-----------------------------------------------------------------------------------------------------------------

ValElement Medium                                     |       Insert |       Remove |        Total |            σ
-----------------------------------------------------------------------------------------------------------------
Framework.NonCoWHeap                                  |      9.192ms |      40.16ms |      49.35ms |      1.149ms
NonCoWHeap                                            |      9.242ms |      40.45ms |      49.69ms |      2.284ms
Framework.ClosureUnsafePointerHeap (local literal)    |      7.454ms |      43.28ms |      50.73ms |      1.366ms
ClosureUnsafePointerHeap (local literal)              |      7.461ms |      43.62ms |      51.08ms |      1.992ms
Framework.ClosureUnsafePointerHeap (argument <)       |       7.61ms |      43.49ms |       51.1ms |      1.603ms
Framework.ClosureArrayBufferHeap                      |      7.817ms |      43.33ms |      51.15ms |      1.915ms
ClosureUnsafePointerHeap (argument <)                 |      7.591ms |      43.72ms |      51.31ms |      2.439ms
ClosureArrayBufferHeap                                |      7.798ms |      43.68ms |      51.47ms |      2.123ms
